airline_name,flight_iata,departure_scheduled,departure_airport,arrival_airport
Air India,AI2336,2025-08-28T01:40:00+00:00,Indira Gandhi International,Suvarnabhumi International
Air India,AI308,2025-08-28T01:45:00+00:00,Indira Gandhi International,Melbourne - Tullamarine Airport
Lufthansa,LH763,2025-08-28T01:45:00+00:00,Indira Gandhi International,Franz Josef Strauss
Blue Dart Aviation,BZ201,2025-08-28T01:50:00+00:00,Indira Gandhi International,Chhatrapati Shivaji International (Sahar International)
IndiGo,6E2343,2025-08-28T01:55:00+00:00,Indira Gandhi International,Lohegaon
Air India,AI378,2025-08-28T01:55:00+00:00,Indira Gandhi International,Phuket International
Air India,AI2702,2025-08-28T02:00:00+00:00,Indira Gandhi International,Netaji Subhas Chandra
Air India,AI161,2025-08-28T02:00:00+00:00,Indira Gandhi International,Heathrow
Virgin Atlantic,VS303,2025-08-28T02:05:00+00:00,Indira Gandhi International,Heathrow
Air India,AI173,2025-08-28T02:10:00+00:00,Indira Gandhi International,San Francisco International
Air India,AI2421,2025-08-28T02:15:00+00:00,Indira Gandhi International,Chhatrapati Shivaji International (Sahar International)
Blue Dart Aviation,BZ803,2025-08-28T02:20:00+00:00,Indira Gandhi International,Chhatrapati Shivaji International (Sahar International)
IndiGo,6E853,2025-08-28T02:20:00+00:00,Indira Gandhi International,Chhatrapati Shivaji International (Sahar International)
Ethiopian Airlines,ET687,2025-08-28T02:30:00+00:00,Indira Gandhi International,Bole International
Air India,AI891,2025-08-28T02:30:00+00:00,Indira Gandhi International,Madras International (Meenambakkam)
Air India,AI2577,2025-08-28T02:30:00+00:00,Indira Gandhi International,Hyderabad Airport
IndiGo,6E2308,2025-08-28T02:30:00+00:00,Indira Gandhi International,Madras International (Meenambakkam)
IndiGo,6E2788,2025-08-28T02:30:00+00:00,Indira Gandhi International,Netaji Subhas Chandra
Japan Airlines,JL9677,2025-08-27T06:30:00+00:00,Indira Gandhi International,Bakula Rimpoche
Virgin Atlantic,VS8838,2025-08-27T06:30:00+00:00,Indira Gandhi International,Bakula Rimpoche
IndiGo,6E2006,2025-08-27T06:30:00+00:00,Indira Gandhi International,Bakula Rimpoche
Air India,AI445,2025-08-27T06:45:00+00:00,Indira Gandhi International,Bakula Rimpoche
Alliance Air,9I613,2025-08-27T06:50:00+00:00,Indira Gandhi International,Bilaspur
Hong Kong Air Cargo,RH9458,2025-08-27T15:40:00+00:00,Indira Gandhi International,Hong Kong International
Turkish Airlines,TK6135,2025-08-27T15:50:00+00:00,Indira Gandhi International,Istanbul Airport
SriLankan Airlines,UL3630,2025-08-27T15:55:00+00:00,Indira Gandhi International,Borjhar
Singapore Airlines,SQ4879,2025-08-27T15:55:00+00:00,Indira Gandhi International,Borjhar
Air India,AI889,2025-08-27T15:55:00+00:00,Indira Gandhi International,Borjhar
Air India,AI849,2025-08-27T16:00:00+00:00,Indira Gandhi International,Lohegaon
Japan Airlines,JL9289,2025-08-27T16:00:00+00:00,Indira Gandhi International,Madras International (Meenambakkam)
Virgin Atlantic,VS8887,2025-08-27T16:00:00+00:00,Indira Gandhi International,Madras International (Meenambakkam)
IndiGo,6E6091,2025-08-27T16:00:00+00:00,Indira Gandhi International,Madras International (Meenambakkam)
Air India,AI2485,2025-08-27T16:15:00+00:00,Indira Gandhi International,Madras International (Meenambakkam)
Air India,AI503,2025-08-27T16:20:00+00:00,Indira Gandhi International,Cochin International
Emirates,EK517,2025-08-27T16:20:00+00:00,Indira Gandhi International,Dubai
Japan Airlines,JL9623,2025-08-27T16:20:00+00:00,Indira Gandhi International,Goa International
Virgin Atlantic,VS8764,2025-08-27T16:20:00+00:00,Indira Gandhi International,Goa International
IndiGo,6E5025,2025-08-27T16:20:00+00:00,Indira Gandhi International,Goa International
SpiceJet,SG977,2025-08-27T16:45:00+00:00,Indira Gandhi International,Lohegaon
Air India,AI915,2025-08-27T16:50:00+00:00,Indira Gandhi International,Dubai
Qatar Airways,QR4781,2025-08-27T17:00:00+00:00,Indira Gandhi International,Doha International
IndiGo,6E1345,2025-08-27T17:00:00+00:00,Indira Gandhi International,Doha International
Japan Airlines,JL9645,2025-08-27T17:00:00+00:00,Indira Gandhi International,Hyderabad Airport
Qantas,QF8783,2025-08-27T17:00:00+00:00,Indira Gandhi International,Hyderabad Airport
Virgin Atlantic,VS8780,2025-08-27T17:00:00+00:00,Indira Gandhi International,Hyderabad Airport
IndiGo,6E6217,2025-08-27T17:00:00+00:00,Indira Gandhi International,Hyderabad Airport
AirAsia X,D7231,2025-08-27T17:05:00+00:00,Indira Gandhi International,Don Muang
Air India,AI237,2025-08-27T17:20:00+00:00,Indira Gandhi International,Zia International
Japan Airlines,JL5734,2025-08-27T18:45:00+00:00,Indira Gandhi International,Bandaranaike International
SriLankan Airlines,UL196,2025-08-27T18:45:00+00:00,Indira Gandhi International,Bandaranaike International
Air India,AI9827,2025-08-27T19:25:00+00:00,Indira Gandhi International,Varanasi
Air India Express,IX1213,2025-08-27T19:25:00+00:00,Indira Gandhi International,Varanasi
Japan Airlines,JL9603,2025-08-27T19:30:00+00:00,Indira Gandhi International,Netaji Subhas Chandra
Qantas,QF5321,2025-08-27T19:30:00+00:00,Indira Gandhi International,Netaji Subhas Chandra
Virgin Atlantic,VS8753,2025-08-27T19:30:00+00:00,Indira Gandhi International,Netaji Subhas Chandra
IndiGo,6E6517,2025-08-27T19:30:00+00:00,Indira Gandhi International,Netaji Subhas Chandra
SriLankan Airlines,UL3618,2025-08-27T20:20:00+00:00,Indira Gandhi International,Patna
Air India,AI895,2025-08-27T20:20:00+00:00,Indira Gandhi International,Patna
Akasa Air,QP1344,2025-08-27T20:40:00+00:00,Indira Gandhi International,Bangalore International Airport
Blue Dart Aviation,BZ481,2025-08-27T01:05:00+00:00,Indira Gandhi International,Sardar Vallabhbhai Patel International Airport
Blue Dart Aviation,BZ201,2025-08-27T01:50:00+00:00,Indira Gandhi International,Chhatrapati Shivaji International (Sahar International)
American Airlines,AA9185,2025-08-27T02:20:00+00:00,Indira Gandhi International,Chhatrapati Shivaji International (Sahar International)
Air France,AF6093,2025-08-27T02:20:00+00:00,Indira Gandhi International,Chhatrapati Shivaji International (Sahar International)
Japan Airlines,JL9071,2025-08-27T02:20:00+00:00,Indira Gandhi International,Chhatrapati Shivaji International (Sahar International)
Qantas,QF5279,2025-08-27T02:20:00+00:00,Indira Gandhi International,Chhatrapati Shivaji International (Sahar International)
Virgin Atlantic,VS8733,2025-08-27T02:20:00+00:00,Indira Gandhi International,Chhatrapati Shivaji International (Sahar International)
IndiGo,6E853,2025-08-27T02:20:00+00:00,Indira Gandhi International,Chhatrapati Shivaji International (Sahar International)
Lufthansa,LH7256,2025-08-27T03:40:00+00:00,Indira Gandhi International,Raja Sansi International Airport
Air India,AI453,2025-08-27T03:40:00+00:00,Indira Gandhi International,Raja Sansi International Airport
Air India,AI2336,2025-08-27T01:40:00+00:00,Indira Gandhi International,Suvarnabhumi International
Lufthansa,LH5282,2025-08-27T03:00:00+00:00,Indira Gandhi International,Bangalore International Airport
SWISS,LX9856,2025-08-27T03:00:00+00:00,Indira Gandhi International,Bangalore International Airport
Air India,AI2653,2025-08-27T03:00:00+00:00,Indira Gandhi International,Bangalore International Airport
Quikjet Cargo Airlines,QO322,2025-08-27T03:15:00+00:00,Indira Gandhi International,Bangalore International Airport
British Airways,BA8779,2025-08-27T05:00:00+00:00,Indira Gandhi International,Chhatrapati Shivaji International (Sahar International)
Japan Airlines,JL9227,2025-08-27T05:00:00+00:00,Indira Gandhi International,Chhatrapati Shivaji International (Sahar International)
KLM,KL3657,2025-08-27T05:00:00+00:00,Indira Gandhi International,Chhatrapati Shivaji International (Sahar International)
